Order,parameter name,"Parameter name short version
Backup",long_name,cf_standard_name,cf_standard_name_uri,unit,valid_min,valid_max,core/bio/intermediate,sdn_parameter_urn,sdn_parameter_uri,sdn_uom_urn,sdn_uom_uri,comment,update date,status,Fillvalue,Data Type
1,CNDC,CNDC,Electrical conductivity,sea_water_electrical_conductivity,,mhos/m,0.f,8.5f,c,SDN:P01::CNDCST01,http://vocab.nerc.ac.uk/collection/P01/current/CNDCST01/,SDN:P061::UECA,http://vocab.nerc.ac.uk/collection/P06/current/UECA/,,37254,active,99999.f,float
2,PRES,PRES,"Sea water pressure, equals 0 at sea-level",sea_water_pressure,,decibar,0.f,12000.f,c,SDN:P01::PRESPR01,http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/,SDN:P061::UPDB,http://vocab.nerc.ac.uk/collection/P06/current/UPDB/,19/10/2013 : revision of the long name,41566,active,99999.f,float
3,PSAL,PSAL,Practical salinity,sea_water_salinity,,psu,2.f,41.f,c,SDN:P01::PSALST01,http://vocab.nerc.ac.uk/collection/P01/current/PSALST01/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,37254,active,99999.f,float
4,TEMP,TEMP,Sea temperature in-situ ITS-90 scale,sea_water_temperature,,degree_Celsius,-2.5f,40.f,c,SDN:P01::TEMPST01,http://vocab.nerc.ac.uk/collection/P01/current/TEMPST01/,SDN:P061::UPAA,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,37254,active,99999.f,float
5,DOXY,DOXY,Dissolved oxygen,moles_of_oxygen_per_unit_mass_in_sea_water,,micromole/kg,-5.f,600.f,b,SDN:P01::DOXMZZXX,http://vocab.nerc.ac.uk/collection/P01/current/DOXMZZXX/,SDN:P061::KGUM,http://vocab.nerc.ac.uk/collection/P06/current/KGUM/,,42312,active,99999.f,float
6,TEMP_DOXY,TEMP_DOXY,Sea temperature from oxygen sensor ITS-90 scale,temperature_of_sensor_for_oxygen_in_sea_water,,degree_Celsius,-2.f,40.f,i,SDN:P01::OXYTAAOP,http://vocab.nerc.ac.uk/collection/P01/current/OXYTAAOP/,SDN:P061::UPAA,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,,42065,active,99999.f,float
7,TEMP_VOLTAGE_DOXY,,Thermistor voltage reported by oxygen sensor,-,,volt,-,-,i,SDN:P01::TCNTOPTT,http://vocab.nerc.ac.uk/collection/P01/current/TCNTOPTT/,SDN:P061::UVLT,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/,Voltage from SBE63 thermistor,42326,active,99999.f,float
8,VOLTAGE_DOXY,VOLTAGE_DOXY,Voltage reported by oxygen sensor,-,,volt,0.f,100.f,i,SDN:P01::OXYOCPVL,http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPVL/,SDN:P061::UVLT,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/,,41810,active,99999.f,float
9,FREQUENCY_DOXY,FREQUENCY_DOXY,Frequency reported by oxygen sensor,-,,hertz,0.f,25000.f,i,SDN:P01::OXYOCPFR,http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPFR/,SDN:P061::UTHZ,http://vocab.nerc.ac.uk/collection/P06/current/UTHZ/,,41810,active,99999.f,float
10,COUNT_DOXY,COUNT_DOXY,Count reported by oxygen sensor,-,,count,-,-,i,SDN:P01::OXYOOPCT,http://vocab.nerc.ac.uk/collection/P01/current/OXYOOPCT/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42334,active,99999.f,float
11,BPHASE_DOXY,BPHASE_DOXY,Uncalibrated phase shift reported by oxygen sensor,-,,degree,10.f,70.f,i,SDN:P01::OXYCPHAB,http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAB/,SDN:P061::UAAA,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,reported by Aanderaa 3830 optodes,41759,active,99999.f,float
12,DPHASE_DOXY,DPHASE_DOXY,Calibrated phase shift reported by oxygen sensor,-,,degree,10.f,70.f,i,SDN:P01::OXYCPHAB,http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAB/,SDN:P061::UAAA,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,reported by Aanderaa 3830 optodes,41759,active,99999.f,float
13,TPHASE_DOXY,TPHASE_DOXY,Uncalibrated phase shift reported by oxygen sensor,-,,degree,10.f,70.f,i,SDN:P01::OXYCPHAC,http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAC/,SDN:P061::UAAA,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,reported by Aanderaa 4330 and 4330F optodes,41759,active,99999.f,float
14,C1PHASE_DOXY,C1PHASE_DOXY,Uncalibrated phase shift reported by oxygen sensor,-,,degree,10.f,70.f,i,SDN:P01::OCYCPHAD,http://vocab.nerc.ac.uk/collection/P01/current/OCYCPHAD/,SDN:P061::UAAA,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,reported by Aanderaa 4330 and 4330F optodes,41810,active,99999.f,float
15,C2PHASE_DOXY,C2PHASE_DOXY,Uncalibrated phase shift reported by oxygen sensor,-,,degree,0.f,15.f,i,SDN:P01::OXYCPHAE,http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAE/,SDN:P061::UAAA,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,reported by Aanderaa 4330 and 4330F optodes,42345,active,99999.f,float
16,MOLAR_DOXY,MOLAR_DOXY,"Uncompensated (pressure and salinity) oxygen concentration reported
by the oxygen sensor",mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,,micromole/l,0.f,650.f,i,SDN:P01::DOXYMMOP,http://vocab.nerc.ac.uk/collection/P01/current/DOXYMMOP/,SDN:P061::MMPL,http://vocab.nerc.ac.uk/collection/P06/current/MMPL/,21/05/2014 : unit syntax revision,41810,active,99999.f,float
17,PHASE_DELAY_DOXY,PHASE_DELAY_DOXY,Phase delay reported by oxygen sensor,-,,microsecond,0.f,99999.f,i,SDN:P01::OXYCPH01,http://vocab.nerc.ac.uk/collection/P01/current/OXYCPH01/,SDN:P061::USEC,http://vocab.nerc.ac.uk/collection/P06/current/USEC/,"SBE63 optode, using value in ms as this is what is reported by sensor",41810,active,99999.f,float
18,MLPL_DOXY,MLPL_DOXY,Oxygen concentration reported by the oxygen sensor,-,,ml/l,0.f,650.f,i,SDN:P01::DOXYZZXX,http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,SDN:P061::UMLL,http://vocab.nerc.ac.uk/collection/P06/current/UMLL/,,41444,active,99999.f,float
19,NB_SAMPLE,NB_SAMPLE,Number of samples in bin,-,,dimensionless,-,-,i,SDN:P01::NUMVALES,http://vocab.nerc.ac.uk/collection/P01/current/NUMVALES/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,41566,active,99999.f,float
20,RPHASE_DOXY,RPHASE_DOXY,Uncalibrated red phase shift reported by oxygen sensor,-,,degree,10.f,70.f,i,SDN:P01::OXYCPHAR,http://vocab.nerc.ac.uk/collection/P01/current/OXYCPHAR/,SDN:P061::UAAA,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,,41566,active,99999.f,float
21,TEMP_COUNT_DOXY,,Count which is expressive of uncalibrated temperature value reported by oxygen sensor,-,,count,-,-,i,,http://vocab.nerc.ac.uk/collection/P01/current//,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42334,active,99999.f,float
22,LED_FLASHING_COUNT_DOXY,,Number of times oxygen sensor flashing to measure oxygen,-,,count,-,-,i,,http://vocab.nerc.ac.uk/collection/P01/current//,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,reported by ARO-FT optode. This is a double type variable,42345,active,99999.,double
23,PPOX_DOXY,,Partial pressure of oxygen,-,,millibar,-5.f,5000.f,i,SDN:P01::PPOXZZ01,http://vocab.nerc.ac.uk/collection/P01/current/PPOXZZ01/,SDN:P061::UPBB,http://vocab.nerc.ac.uk/collection/P06/current/UPBB/,Alternative oxygen quantity of oxygen optodes (for in air measurements) ,42402,active,99999.f,float
24,BETA_BACKSCATTERING,OPBS_BBP,Total angle specific volume from backscattering sensor at x nanometers,-,,count,-,-,i,SDN:P01::NVLTOBS1,http://vocab.nerc.ac.uk/collection/P01/current/NVLTOBS1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"ECO3 sensor
FLBB sensor",42023,active,99999.f,float
25,BETA_BACKSCATTERING470,,Total angle specific volume from backscattering sensor at 470 nanometers,-,,count,-,-,i,SDN:P01::NVLTOBS1,http://vocab.nerc.ac.uk/collection/P01/current/NVLTOBS1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42243,active,99999.f,float
26,BETA_BACKSCATTERING532,,Total angle specific volume from backscattering sensor at 532 nanometers,-,,count,-,-,i,SDN:P01::NVLTOBS1,http://vocab.nerc.ac.uk/collection/P01/current/NVLTOBS1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42023,active,99999.f,float
27,BETA_BACKSCATTERING700,,Total angle specific volume from backscattering sensor at 700 nanometers,-,,count,-,-,i,SDN:P01::NVLTOBS1,http://vocab.nerc.ac.uk/collection/P01/current/NVLTOBS1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42023,active,99999.f,float
28,FLUORESCENCE_CHLA,FVLT_CHLA,Chlorophyll-A signal from fluorescence sensor,-,,count,-,-,i,SDN:P01::FCNTRW01,http://vocab.nerc.ac.uk/collection/P01/current/FCNTRW01/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"sdn code independent of electromagic wavelength
ECO3 sensor
FLNTU sensor
FLBB sensor",41759,active,99999.f,float
29,TEMP_CPU_CHLA,TEMP_CPU_CHLA,Thermistor signal from backscattering sensor,-,,count,-,-,i,SDN:P01::TCNTICPU,http://vocab.nerc.ac.uk/collection/P01/current/TCNTICPU/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,CPU termistor temp in counts from WetLabs FLBB,42023,active,99999.f,float
30,FLUORESCENCE_CDOM,FVLT_CDOM,Raw fluorescence from coloured dissolved organic matter sensor,-,,count,-,-,i,SDN:P01::FLUOCDOM,http://vocab.nerc.ac.uk/collection/P01/current/FLUOCDOM/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,ECO3 sensor,42067,active,99999.f,float
31,SIDE_SCATTERING_TURBIDITY,OPSS_TURB,Turbidity signal from side scattering sensor,-,,count,-,-,i,SDN:P01::NCNTTUR1,http://vocab.nerc.ac.uk/collection/P01/current/NCNTTUR1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,FLNTU sensor,42322,active,99999.f,float
32,TRANSMITTANCE_PARTICLE_BEAM_ATTENUATION,ATTN_CP,Beam attenuation from transmissometer sensor at x nanometers,-,,count,-,-,i,SDN:P01::NCNTATT1,http://vocab.nerc.ac.uk/collection/P01/current/NCNTATT1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42322,active,99999.f,float
33,TRANSMITTANCE_PARTICLE_BEAM_ATTENUATION660,,Beam attenuation from transmissometer sensor at 660 nanometers,-,,dimensionless,-,-,i,SDN:P01::NCNTATT1,http://vocab.nerc.ac.uk/collection/P01/current/NCNTATT1/,SDN:P061::UUUU,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,,42322,active,99999.f,float
34,BBP,,Particle backscattering at x nanometers,-,,m-1,-,-,b,SDN:P01::BSXXXVSF,http://vocab.nerc.ac.uk/collection/P01/current/BSXXXVSF/,SDN:P061::PMSR,http://vocab.nerc.ac.uk/collection/P06/current/PMSR/,"coefficient or function in cf name?
ECO3 sensor",42023,active,99999.f,float
35,BBP470,Particle backscattering at 532 nanometers,Particle backscattering at 470 nanometers,-,,m-1,-,-,b,SDN:P01::BB117B01,http://vocab.nerc.ac.uk/collection/P01/current/BB117B01/,SDN:P061::PMSR,http://vocab.nerc.ac.uk/collection/P06/current/PMSR/,"coefficient or function in cf name?
ECO3 sensor",42243,active,99999.f,float
36,BBP532,BBP532,Particle backscattering at 532 nanometers,-,,m-1,-,-,b,SDN:P01::BB117G01,http://vocab.nerc.ac.uk/collection/P01/current/BB117G01/,SDN:P061::PMSR,http://vocab.nerc.ac.uk/collection/P06/current/PMSR/,"coefficient or function in cf name?
ECO3 sensor",42023,active,99999.f,float
